"age" "gender" "belgian" "degree" "startdate" "months" "phd" "years" "totdfte" "meandfte" "level" "class" "faculty"
27 "M" "O" 5 37104 NA "N" NA 0.06 0.15 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
24 "W" "B" 6 34366 NA "N" NA 0.41 0.5 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "WE"
25 "W" "B" 7 33543 85 "Y" 7 5.94 0.68 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
23 "M" "B" 7 33878 90 "Y" 8 6.25 1 "IWONL-bursaal" "3 ) IWT-bursalen" "WE"
41 "W" "B" 5 35521 NA "N" NA 2.52 0.47 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "LW"
25 "M" "B" 7 33664 NA "N" NA 0.87 0.8 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
24 "W" "B" 7 36495 NA "N" NA 3.99 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "PP"
23 "M" "B" 8 33909 98 "Y" 8 5.34 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "WE"
26 "M" "B" 5 34608 NA "N" NA 4.34 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
32 "W" "B" 7 36251 NA "N" NA 4.41 0.95 "wetenschappelijk medewerker" "7b) Andere juniorstatuten (WM)" "DI"
23 "M" "B" 8 35065 67 "Y" 6 5.5 1 "IWT-bursaal" "3 ) IWT-bursalen" "TW"
22 "W" "B" 8 35735 NA "N" NA 5.29 0.95 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "GE"
23 "M" "B" 8 34578 53 "Y" 4 4.47 1 "assistent" "1a) Bezoldigd AAP" "FW"
25 "W" "B" 5 35247 NA "N" NA 1 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "GE"
23 "M" "B" 8 37500 NA "N" NA 2 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "GE"
22 "W" "B" 7 33817 98 "Y" 8 6.63 0.94 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
24 "M" "B" 7 37408 NA "N" NA 1.17 0.7 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "PS"
23 "W" "B" 8 37257 NA "N" NA 2 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "LW"
26 "W" "O" 5 36161 17 "Y" 1 1.44 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "FW"
27 "M" "O" 5 37742 NA "N" NA 0.5 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "TW"
24 "W" "B" 7 34243 NA "N" NA 0.74 0.19 "assistent" "1a) Bezoldigd AAP" "GE"
46 "M" "O" 5 35796 NA "N" NA 1 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "WE"
27 "M" "B" 8 36586 NA "N" NA 0.87 0.65 "wetenschappelijk medewerker" "7b) Andere juniorstatuten (WM)" "DI"
25 "M" "B" 7 36069 NA "N" NA 4 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "GE"
23 "W" "B" 6 36831 NA "N" NA 4 1 "assistent" "1a) Bezoldigd AAP" "EB"
23 "W" "B" 6 35704 NA "N" NA 2.58 1 "assistent" "1a) Bezoldigd AAP" "FW"
33 "M" "B" 8 33878 NA "N" NA 4 0.94 "assistent" "1a) Bezoldigd AAP" "LW"
34 "W" "B" 6 36557 NA "N" NA 0.21 0.5 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "DI"
22 "M" "B" 7 36039 NA "N" NA 2.08 1 "wetenschappelijk medewerker" "11) Onbekend" "EB"
23 "W" "B" 5 37622 NA "N" NA 2.09 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "PS"
23 "W" "B" 7 36069 NA "N" NA 2 1 "assistent" "1a) Bezoldigd AAP" "PS"
22 "M" "B" 7 37196 NA "N" NA 2.17 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "TW"
23 "W" "B" 8 36800 NA "N" NA 4 1 "assistent" "1a) Bezoldigd AAP" "GE"
