"age" "gender" "belgian" "degree" "startdate" "months" "phd" "years" "totdfte" "meandfte" "level" "class" "faculty"
25 "W" "B" 7 36892 NA "N" NA 0.3 0.45 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "PP"
33 "W" "B" 5 34121 NA "N" NA 5.8 0.41 "assistent" "1a) Bezoldigd AAP" "GE"
23 "W" "B" 7 33512 74 "Y" 6 5.67 1 "assistent" "1a) Bezoldigd AAP" "FW"
24 "M" "B" 7 33512 89 "Y" 7 6.42 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
25 "W" "O" 7 36161 NA "N" NA 0.54 0.59 "wetenschappelijk medewerker" "7b) Andere juniorstatuten (WM)" "PP"
22 "M" "B" 7 34001 46 "Y" 4 3.88 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "WE"
27 "M" "O" 5 37012 NA "N" NA 1.42 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "TW"
25 "M" "B" 7 35855 NA "N" NA 6.5 0.96 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "RE"
23 "W" "B" 5 36923 NA "N" NA 4 1 "assistent" "1a) Bezoldigd AAP" "GE"
24 "W" "B" 7 35096 NA "N" NA 4.75 0.97 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "DI"
23 "M" "B" 8 36069 56 "Y" 5 4.71 1 "assistent" "1a) Bezoldigd AAP" "RE"
25 "M" "B" 7 37712 NA "N" NA 1.08 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "LA"
23 "W" "B" 7 36100 NA "N" NA 0.61 0.92 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "PP"
22 "M" "B" 7 34366 113 "Y" 9 6.21 0.5 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "WE"
23 "M" "B" 7 37012 NA "N" NA 4.67 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
22 "W" "B" 7 36861 NA "N" NA 1.33 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
23 "M" "B" 7 37165 NA "N" NA 3.25 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "TW"
50 "M" "B" 5 35339 NA "N" NA 0.8 0.11 "wetenschappelijk medewerker" "7b) Andere juniorstatuten (WM)" "PP"
23 "W" "B" 8 37653 NA "N" NA 1.92 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "WE"
23 "W" "B" 8 36312 NA "N" NA 0.33 1 "assistent" "1c) Plaatsvervangend AAP" "WE"
23 "M" "B" 7 35339 NA "N" NA 3.25 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
22 "M" "B" 8 33482 102 "Y" 9 NA NA "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "TW"
23 "W" "B" 7 34608 65 "Y" 5 4.63 0.88 "wetenschappelijk medewerker" "7b) Andere juniorstatuten (WM)" "WE"
22 "M" "B" 9 36069 52 "Y" 4 4.25 1 "doctoraatsbursaal" "4a) Persoonsgebonden mandaten (bursalen)" "WE"
24 "M" "B" 7 35582 NA "N" NA NA NA "wetenschappelijk medewerker" "11) Onbekend" "EB"
23 "M" "B" 5 36434 NA "N" NA 4 1 "IWT-bursaal" "3 ) IWT-bursalen" "WE"
32 "W" "B" 5 36251 NA "N" NA 3 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "LA"
24 "M" "B" 7 36982 NA "N" NA 0.33 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
26 "W" "B" 7 33635 75 "Y" 6 6.29 0.82 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
35 "W" "B" 5 34516 NA "N" NA 4.3 0.38 "assistent" "1a) Bezoldigd AAP" "GE"
23 "M" "B" 7 33848 84 "Y" 7 7.24 1 "assistent" "1a) Bezoldigd AAP" "TW"
23 "W" "B" 7 36069 NA "N" NA 2.75 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "WE"
22 "W" "B" 7 35735 NA "N" NA 0.75 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "EB"
23 "M" "B" 8 36039 50 "Y" 4 4.23 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "TW"
23 "W" "B" 7 34973 NA "N" NA 7.5 0.92 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "PP"
24 "M" "B" 6 36770 NA "N" NA 1.46 0.7 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "PP"
24 "W" "B" 6 35278 NA "N" NA 6.58 0.71 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "PP"
24 "W" "B" 7 35431 NA "N" NA 3.83 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "DI"
29 "M" "B" 8 36465 NA "N" NA 4 1 "assistent" "1a) Bezoldigd AAP" "PP"
21 "W" "B" 9 34608 53 "Y" 4 4 1 "IWT-bursaal" "3 ) IWT-bursalen" "WE"
22 "M" "B" 9 37530 NA "N" NA 2 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "TW"
28 "W" "B" 8 34547 NA "N" NA 0.17 0.5 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
23 "W" "B" 7 35827 NA "N" NA 2 1 "wetenschappelijk projectmedewerker MML" "6b) Andere projecten (WM)" "WE"
23 "W" "B" 9 36923 NA "N" NA 2.11 0.91 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "PP"
24 "M" "B" 7 34090 NA "N" NA 5.34 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "TW"
24 "W" "B" 8 37469 NA "N" NA 1.17 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "RE"
24 "W" "B" 7 36100 NA "N" NA 4.91 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "GE"
23 "W" "B" 8 33512 NA "N" NA 4.5 0.64 "assistent" "1a) Bezoldigd AAP" "RE"
23 "M" "B" 7 35339 NA "N" NA 4.34 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "TW"
23 "W" "B" 7 34700 NA "N" NA 0.96 0.82 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "RE"
23 "M" "B" 7 36434 NA "N" NA 1.13 0.31 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "WE"
33 "M" "B" 6 36161 NA "N" NA 3.53 0.59 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
28 "M" "B" 8 35855 55 "Y" 5 4.61 1 "assistent" "1a) Bezoldigd AAP" "GE"
22 "M" "B" 8 37135 NA "N" NA 2.17 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "EB"
22 "M" "B" 6 35339 NA "N" NA 1.58 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "PP"
22 "W" "B" 8 34608 NA "N" NA 9.5 0.97 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
25 "W" "B" 7 36465 NA "N" NA 0.92 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
23 "W" "B" 8 35704 50 "Y" 4 4 1 "IWT-bursaal" "3 ) IWT-bursalen" "LA"
23 "W" "B" 8 37591 NA "N" NA 1.42 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
23 "W" "B" 8 37257 NA "N" NA 2 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "WE"
22 "W" "B" 7 35339 49 "Y" 4 4 1 "IWT-bursaal" "3 ) IWT-bursalen" "WE"
23 "M" "B" 7 35643 54 "Y" 5 4.56 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "TW"
25 "M" "B" 8 37012 NA "N" NA 2.67 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "PP"
26 "M" "B" 7 36800 NA "N" NA 2.25 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "DI"
22 "W" "B" 5 36739 NA "N" NA 4 1 "assistent" "1a) Bezoldigd AAP" "EB"
28 "W" "B" 8 37165 NA "N" NA 4 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "GE"
22 "W" "B" 9 36161 NA "N" NA 6 1 "assistent" "1a) Bezoldigd AAP" "LW"
25 "M" "B" 7 34335 NA "N" NA 9.91 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "GE"
22 "M" "B" 7 34608 47 "Y" 4 3.96 1 "IWT-bursaal" "3 ) IWT-bursalen" "LA"
27 "M" "B" 9 34759 NA "N" NA 4.25 1 "IWT-bursaal" "3 ) IWT-bursalen" "WE"
23 "W" "B" 9 37438 NA "N" NA 2.51 1 "doctoraatsbursaal" "4a) Persoonsgebonden mandaten (bursalen)" "LW"
37 "W" "B" 5 34943 97 "Y" 8 7.89 0.79 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "GE"
28 "W" "O" 5 37742 NA "N" NA 0.59 1 "VIB-junior onderzoeker" "6b) Andere projecten (WM)" "WE"
26 "W" "B" 8 36039 NA "N" NA 6 1 "assistent" "1a) Bezoldigd AAP" "PS"
23 "W" "B" 7 36220 NA "N" NA 5.26 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "GE"
26 "W" "B" 7 34578 NA "N" NA 3.55 0.7 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
22 "M" "B" 8 36161 53 "Y" 4 4 1 "IWT-bursaal" "3 ) IWT-bursalen" "WE"
27 "W" "O" 5 36647 NA "N" NA 2.34 1 "doctoraatsbursaal" "7a) Andere juniorstatuten (bursalen)" "PP"
25 "M" "B" 7 34608 NA "N" NA 0.92 0.5 "wetenschappelijk medewerker" "7b) Andere juniorstatuten (WM)" "DI"
26 "W" "B" 7 36495 NA "N" NA 2.83 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "RE"
22 "W" "B" 7 35796 NA "N" NA 6.08 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "LW"
24 "M" "B" 8 37834 NA "N" NA 1 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "TW"
24 "W" "B" 5 36800 NA "N" NA 4 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "LW"
25 "W" "B" 5 35370 NA "N" NA 0.91 0.52 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "EB"
23 "M" "B" 7 33635 39 "Y" 3 2 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
29 "M" "O" 5 33512 NA "N" NA 0.6 0.15 "assistent" "1a) Bezoldigd AAP" "GE"
24 "W" "B" 7 36526 NA "N" NA 4.75 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "WE"
25 "W" "B" 5 35827 NA "N" NA 3.24 1 "wetenschappelijk medewerker" "7b) Andere juniorstatuten (WM)" "TW"
36 "M" "B" 5 33512 132 "Y" 11 6.96 0.59 "wetenschappelijk medewerker" "7b) Andere juniorstatuten (WM)" "PP"
21 "W" "B" 8 36069 NA "N" NA 1.5 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "WE"
25 "M" "O" 5 37012 NA "N" NA 1.5 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
23 "W" "B" 8 35309 NA "N" NA 1.5 0.75 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "EB"
22 "M" "B" 7 34973 80 "Y" 7 6.6 1 "IWT-bursaal" "3 ) IWT-bursalen" "WE"
25 "M" "B" 7 35827 NA "N" NA 2.58 1 "assistent" "1a) Bezoldigd AAP" "GE"
23 "M" "B" 7 34820 NA "N" NA 0.67 0.5 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "PP"
24 "M" "B" 7 33512 NA "N" NA 0.58 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "TW"
23 "W" "B" 7 35431 65 "Y" 5 5.49 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "LA"
22 "W" "B" 7 37500 NA "N" NA 3.33 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
24 "M" "B" 5 36251 NA "N" NA 0.67 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "PP"
25 "W" "O" 5 37196 NA "N" NA 2.25 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
23 "M" "B" 8 37165 NA "N" NA 4.25 1 "doctoraatsbursaal" "4a) Persoonsgebonden mandaten (bursalen)" "LA"
22 "W" "B" 5 37377 NA "N" NA 2.42 1 "VIB-junior onderzoeker" "6b) Andere projecten (WM)" "WE"
22 "M" "B" 8 36434 42 "Y" 4 3.5 1 "doctoraatsbursaal" "4a) Persoonsgebonden mandaten (bursalen)" "PS"
25 "W" "B" 7 36495 NA "N" NA 3.75 0.98 "wetenschappelijk medewerker" "7b) Andere juniorstatuten (WM)" "DI"
26 "W" "B" 5 35096 68 "Y" 6 4.47 0.97 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
36 "M" "O" 5 37196 NA "N" NA 3.17 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "TW"
24 "M" "B" 6 36526 NA "N" NA 1 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "RE"
22 "W" "B" 8 36892 NA "N" NA 3 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "WE"
31 "M" "O" 5 36342 NA "N" NA 0.5 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
23 "M" "B" 7 34243 76 "Y" 6 4.77 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "TW"
24 "W" "B" 7 33543 NA "N" NA 0.33 1 "assistent" "1a) Bezoldigd AAP" "LA"
24 "W" "B" 5 36831 NA "N" NA 4 1 "assistent" "1a) Bezoldigd AAP" "LA"
24 "W" "B" 7 36800 NA "N" NA 4.25 1 "doctoraatsbursaal" "4a) Persoonsgebonden mandaten (bursalen)" "GE"
31 "M" "B" 6 34335 NA "N" NA 2.27 0.2 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "PS"
23 "M" NA 7 33512 NA "N" NA 2 1 "IWONL-bursaal" "3 ) IWT-bursalen" "WE"
25 "W" "B" 7 34182 57 "Y" 5 4.77 1 "assistent" "1a) Bezoldigd AAP" "DI"
23 "M" "B" 7 36069 49 "Y" 4 4.11 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "TW"
25 "W" "B" 8 34608 35 "Y" 3 3 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "LA"
22 "M" "B" 8 36800 NA "N" NA 4.08 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "EB"
25 "M" "B" 8 33970 119 "Y" 10 7.57 0.85 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LW"
22 "M" "B" 8 37500 NA "N" NA 2 1 "IMEC predoctoraal onderzoeker" "6b) Andere projecten (WM)" "TW"
23 "M" "B" 7 36892 NA "N" NA 4 1 "assistent" "1a) Bezoldigd AAP" "RE"
27 "M" "O" 5 35827 NA "N" NA 1.41 1 "assistent" "1a) Bezoldigd AAP" "FW"
23 "M" "B" 8 37438 NA "N" NA 3.17 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "TW"
22 "M" "B" 9 36100 42 "Y" 4 3.2 0.9 "assistent" "1a) Bezoldigd AAP" "EB"
22 "W" "B" 8 36617 NA "N" NA 1 1 "assistent" "1a) Bezoldigd AAP" "PS"
37 "M" "O" 5 36069 27 "Y" 2 2.36 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "LA"
27 "W" "B" 7 37257 NA "N" NA 2 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "GE"
30 "M" "B" 7 36647 NA "N" NA 0.68 0.13 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
27 "M" "B" 8 34029 NA "N" NA 7.62 0.8 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "LW"
27 "W" "B" 6 37469 NA "N" NA 0.76 0.65 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LW"
24 "W" "B" 6 36465 NA "N" NA 5 1 "IMEC predoctoraal onderzoeker" "6b) Andere projecten (WM)" "TW"
23 "W" "B" 8 35765 NA "N" NA 3.38 0.56 "assistent" "1a) Bezoldigd AAP" "RE"
29 "M" "O" 5 36312 12 "Y" 1 1.05 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "WE"
22 "W" "B" 8 37165 NA "N" NA 4 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "WE"
24 "M" "B" 8 33635 NA "N" NA 5.75 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
22 "W" "B" 8 37469 NA "N" NA 2.54 0.82 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "EB"
22 "W" "B" 7 36800 NA "N" NA 4 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "WE"
31 "W" "B" 7 36069 NA "N" NA 0.75 0.75 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
22 "W" "B" 7 34973 NA "N" NA 2.25 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "FW"
38 "M" "B" 7 35339 NA "N" NA 2.38 0.49 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "CA"
23 "M" "B" 8 35339 71 "Y" 6 5.99 1 "IWT-bursaal" "3 ) IWT-bursalen" "WE"
22 "W" "B" 8 34608 47 "Y" 4 3.95 1 "IWT-bursaal" "3 ) IWT-bursalen" "DI"
22 "W" "B" 8 37165 NA "N" NA 2 1 "doctoraatsbursaal" "4a) Persoonsgebonden mandaten (bursalen)" "GE"
23 "M" "B" 8 34274 55 "Y" 5 4.86 0.95 "assistent" "1a) Bezoldigd AAP" "TW"
26 "M" "B" 8 35704 55 "Y" 5 4.33 0.96 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
26 "M" "B" 7 36678 NA "N" NA 1.01 0.5 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "PP"
23 "M" "B" 7 34547 57 "Y" 5 4.8 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "TW"
24 "M" "B" 8 36982 NA "N" NA 1.5 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "WE"
22 "W" "B" 7 34973 NA "N" NA 1 1 "IWT-bursaal" "3 ) IWT-bursalen" "LA"
24 "W" "B" 7 34394 93 "Y" 8 7.7 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "DI"
23 "W" "B" 7 35490 NA "N" NA 5.92 1 "assistent" "1a) Bezoldigd AAP" "PS"
23 "M" "B" 8 34366 75 "Y" 6 6.29 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "WE"
23 "M" "B" 7 37681 NA "N" NA 0.54 0.4 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
23 "M" "B" 8 34425 44 "Y" 4 0.42 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
24 "W" "B" 7 36923 NA "N" NA 1.25 0.5 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
40 "M" "O" 5 36800 2 "Y" 0 0.2 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "TW"
28 "W" "B" 7 37712 NA "N" NA 2 1 "assistent" "1a) Bezoldigd AAP" "GE"
37 "W" "B" 7 34243 NA "N" NA 3.37 0.37 "assistent" "1a) Bezoldigd AAP" "GE"
23 "M" "B" 8 34213 NA "N" NA 2.58 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
22 "W" "B" 7 37773 NA "N" NA 1.59 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "LW"
26 "M" "B" 7 36647 NA "N" NA 4 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "LA"
23 "W" "B" 7 36800 NA "N" NA 4 1 "IWT-bursaal" "3 ) IWT-bursalen" "LA"
22 "M" "B" 5 36100 NA "N" NA 6 1 "assistent" "1a) Bezoldigd AAP" "TW"
23 "M" "B" 7 36039 NA "N" NA 3.75 1 "IMEC predoctoraal onderzoeker" "6b) Andere projecten (WM)" "TW"
31 "W" "B" 7 34973 NA "N" NA 1.1 0.16 "wetenschappelijk medewerker" "7b) Andere juniorstatuten (WM)" "PP"
22 "M" "B" 9 37257 NA "N" NA 2 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "WE"
23 "M" "B" 7 36404 NA "N" NA 3.17 1 "assistent" "1c) Plaatsvervangend AAP" "FW"
24 "M" "B" 7 37803 NA "N" NA 2 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "LW"
25 "W" "B" 7 36526 NA "N" NA 3.06 0.56 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
23 "M" "B" 8 34608 NA "N" NA 6.34 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
24 "M" "B" 8 35704 NA "N" NA 6 1 "IWT-bursaal" "3 ) IWT-bursalen" "DI"
29 "W" "O" 5 36982 NA "N" NA 3.34 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "WE"
22 "M" "B" 8 34700 76 "Y" 6 5.58 1 "IMEC predoctoraal onderzoeker" "6b) Andere projecten (WM)" "TW"
22 "M" "B" 7 35278 66 "Y" 6 3.83 1 "IMEC predoctoraal onderzoeker" "6b) Andere projecten (WM)" "TW"
23 "M" "B" 7 36039 NA "N" NA 1.33 1 "IMEC predoctoraal onderzoeker" "6b) Andere projecten (WM)" "TW"
25 "M" "B" 7 33848 NA "N" NA 4 1 "assistent" "1a) Bezoldigd AAP" "EB"
28 "M" "B" 6 36192 NA "N" NA 0.83 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
22 "M" "B" 9 36434 NA "N" NA 0.5 1 "assistent" "1a) Bezoldigd AAP" "EB"
22 "M" "B" 8 37469 NA "N" NA 2.17 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "TW"
27 "W" "B" 5 34881 NA "N" NA 0.59 0.5 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
26 "W" "O" 5 37500 NA "N" NA 0.42 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
21 "M" "B" 7 37530 NA "N" NA 1 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "EB"
31 "M" "B" 5 36557 NA "N" NA 1.08 0.76 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "RE"
24 "M" "B" 5 36342 NA "N" NA 0.17 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
22 "M" "B" 8 34943 45 "Y" 4 3.81 1 "assistent" "1a) Bezoldigd AAP" "WE"
25 "W" "O" 5 35827 63 "Y" 5 5.17 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "DI"
23 "M" "B" 7 36404 NA "N" NA 4.08 1 "assistent" "1a) Bezoldigd AAP" "EB"
31 "M" "O" 5 36495 NA "N" NA 2.33 0.5 "assistent" "1a) Bezoldigd AAP" "WE"
25 "M" "B" 8 36739 NA "N" NA 0.5 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
23 "W" "B" 8 37257 NA "N" NA 1.41 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "WE"
28 "M" "B" 5 35339 NA "N" NA 0.83 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
25 "M" "B" 5 34213 NA "N" NA 0.29 0.35 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "PP"
28 "W" "B" 5 33725 85 "Y" 7 7.17 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "GE"
24 "M" "B" 7 37712 NA "N" NA 0.75 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
21 "M" "B" 5 35796 49 "Y" 4 4.1 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "WE"
22 "W" "B" 9 34608 102 "Y" 9 8 1 "wetenschappelijk medewerker" "7b) Andere juniorstatuten (WM)" "WE"
26 "M" "B" 7 35125 NA "N" NA 1.91 0.23 "assistent" "1a) Bezoldigd AAP" "GE"
21 "W" "B" 8 34973 NA "N" NA 2 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "WE"
29 "W" "B" 7 34366 66 "Y" 6 5.58 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "WE"
23 "M" "B" 7 36526 NA "N" NA 2.79 0.8 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "WE"
24 "M" "B" 8 37865 NA "N" NA 2 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "WE"
26 "M" "B" 7 37865 NA "N" NA 2 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "LW"
25 "M" "B" 7 37530 NA "N" NA 1 1 "ICM-bursaal" "4a) Persoonsgebonden mandaten (bursalen)" "EB"
24 "M" "B" 7 37104 NA "N" NA 3.58 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
25 "M" "O" 5 36192 NA "N" NA 1 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "LA"
28 "W" "B" 7 36404 NA "N" NA 6 1 "assistent" "1a) Bezoldigd AAP" "GE"
29 "M" "B" 8 37165 NA "N" NA 2 1 "assistent" "1a) Bezoldigd AAP" "GE"
22 "M" "B" 8 34731 49 "Y" 4 3.99 0.97 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "WE"
22 "M" "B" 7 35339 53 "Y" 4 4.49 1 "IWT-bursaal" "3 ) IWT-bursalen" "WE"
23 "M" "B" 9 36069 48 "Y" 4 4 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "LW"
24 "M" "B" 7 37681 NA "N" NA 1.59 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
34 "W" "B" 5 36434 NA "N" NA 2 1 "assistent" "1a) Bezoldigd AAP" "EB"
23 "W" "B" 8 35065 NA "N" NA 7.55 0.97 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
22 "W" "B" 8 34608 NA "N" NA 3 1 "assistent" "1a) Bezoldigd AAP" "EB"
24 "M" "O" 5 36161 NA "N" NA 4 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "TW"
22 "M" "B" 9 35704 41 "Y" 3 3.5 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "WE"
23 "M" "B" 8 36739 NA "N" NA 4 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
25 "W" "B" 8 36069 NA "N" NA 5 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "PP"
23 "M" "B" 7 35065 53 "Y" 4 4.25 1 "IWT-bursaal" "3 ) IWT-bursalen" "TW"
23 "M" "B" 9 33878 46 "Y" 4 3.67 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "TW"
